                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.96974,                 1.6753,                0.89828,                 1.2637,                0.84751,                0.82647,                0.90035,                0.64994,                0.78892,                0.77841,                0.80526,                0.43168,                0.88889,                 1.3464,                0.76994,                 1.1629,             0.00057498,             0.00057498,             0.00057498
                     62,                0.96836,                 1.6997,                0.88093,                 1.2702,                0.87291,                0.81293,                0.90678,                 0.6724,                0.84484,                0.76941,                0.83593,                0.43099,                 0.8762,                 1.3722,                0.78183,                 1.1602,             0.00057263,             0.00057263,             0.00057263
                     63,                0.94124,                 1.6282,                0.85884,                 1.2322,                0.83513,                0.84647,                0.91971,                0.68213,                0.79074,                0.82557,                0.85474,                0.44794,                0.84906,                 1.3333,                0.75128,                 1.1444,             0.00057027,             0.00057027,             0.00057027
                     64,                 0.9304,                 1.6123,                0.84206,                 1.2491,                0.87178,                0.85368,                0.91769,                0.68866,                0.84676,                0.83249,                0.87287,                0.46452,                0.81756,                 1.2821,                0.72591,                 1.1289,             0.00056792,             0.00056792,             0.00056792
                     65,                0.91166,                 1.5593,                0.81816,                 1.2207,                0.86934,                0.84236,                0.91561,                0.69524,                0.84465,                0.81733,                0.86025,                0.45231,                0.81624,                 1.3199,                0.71781,                 1.1184,             0.00056556,             0.00056556,             0.00056556
                     66,                0.94377,                 1.6055,                0.84968,                 1.2483,                0.79487,                0.85789,                0.91464,                0.69456,                0.76075,                0.80771,                0.83299,                0.45382,                0.82085,                 1.3309,                0.71253,                 1.1151,              0.0005632,              0.0005632,              0.0005632
                     67,                0.95026,                 1.6226,                0.85375,                 1.2258,                 0.7546,                0.89661,                0.90278,                0.68123,                0.77105,                0.78922,                0.81236,                0.43028,                0.82223,                 1.3504,                0.73629,                 1.1211,             0.00056085,             0.00056085,             0.00056085
                     68,                0.92344,                 1.6176,                0.81943,                  1.215,                0.84345,                0.81915,                0.91059,                0.70154,                0.82052,                0.80545,                0.84473,                0.45163,                0.80099,                 1.2557,                0.70366,                 1.0965,             0.00055849,             0.00055849,             0.00055849
                     69,                0.93527,                 1.6103,                0.83308,                 1.2426,                0.89736,                0.81173,                0.92479,                0.71811,                0.84752,                0.77571,                0.83286,                0.43878,                0.80207,                 1.2736,                0.69328,                 1.0947,             0.00055613,             0.00055613,             0.00055613
                     70,                0.90221,                  1.549,                0.79446,                 1.1844,                0.84905,                0.83796,                0.91361,                0.71081,                0.80255,                 0.7918,                0.81821,                0.45504,                0.81046,                 1.2675,                0.72435,                 1.0956,             0.00055378,             0.00055378,             0.00055378
